spotify_id,song,artist
7qoaMWT3eRCKG1RN6dVuOY,Stagger Lee,Lloyd Price
6AiuIqCwz3sQbC8h7wIsc2,I Wish Your Picture Was You,Lloyd Price
2muBCkbGEqHT1Ga1CBvSVb,Talking About Love,Lloyd Price
19iubQmF9HMLIeqeU5cI31,What Do You Do To My Heart,Lloyd Price
0S6fng7dhyJol2RN5WJZMg,You Need Love,Lloyd Price
5Ct9yuekVJsnx8MmxIDTFV,Mailman Blues,Lloyd Price
7shU9j5sj4id2KXh3fC1Ak,Where Were You (On Our Wedding Day?),Lloyd Price
0osToMKCXepT9cXJBvXhtn,Why,Lloyd Price
0gqYQBiXksbJ8dMpkwy9ne,Lawdy Miss Clawdy,Lloyd Price
5VfqMqgBKTcUVbvPggLlue,"Oh, Oh, Oh",Lloyd Price
0Z5zjyfQiQhQUfdrcjkVnK,A Foggy Day,Lloyd Price
5Gu2asdPkdaHUmnFZ1FX7I,Just Because,Lloyd Price
