spotify_id,song,artist,theme
41LPm8IdY6jUpgRZVF8bbN,Dangerous Games,112,desire
0WNvDswphWsmGIgO8tB8HP,1’s For Ya,112,rebellion
55huKwzIFDvA1c5dbffrZ7,Let This Go,112,desire
6lQNEGerEOHaGYTjUvICKm,What If,112,desire
0ahRDzkKq0KEi7FRoHb0qk,U Already Know,112,inspiration
42fP7hJdGighyRGkuSMFum,We Goin' Be Alright,112,desire
1xqtdIypfCRpo45vYH5Uu8,Why Can't We Get Along,112,inspiration
3782eeDnDY4aSqxMcjaFhs,That's How Close We Are,112,desire
6dxtedZMUdFEiEtq5IXBEJ,What The Hell Do You Want,112,desire
2Vbou1LqJLVEomJPzMzmW6,Knock U Down (Interlude),112,desire
5j5JDTt9ObaaZIE2QA16hM,Knock U Down,112,desire
6EbzdoQBCyM0b9VB4F5uwc,Na Na Na Na,112,desire
7DEZNjLzxIYPjLpCkxJe7J,112 Intro,112,desire
769geiA8btidGHda4BBDOJ,It's over Now,112,desire
2SLZ2rX5773RS16mcqBxG7,Peaches and Cream,112,family
3GuliNti6PIEJoqUoPp8Wl,"Q, Mike, Slim, Daron (Interlude)",112,desire
4BdKKkvIMGWN6AtqjrW9Hj,Sweet Love,112,love
2ipjpypVVHeY8WivVNHHhv,Room 112 (Intro),112,heartbreak
1e7BgRrZ1uNwSzEuGRosuP,So Much Love (Interlude),112,desire
62aa75nKO5orJZ1AIOeled,Anywhere (Interlude),112,desire
0Zze3tFRSNwL6KllmYjLgZ,Anywhere,112,desire
4za4hwET81Hncno04XQKAa,Love You Like I Did,112,desire
0RHzTQTTZeRo2vJP2hYyzb,Funny Feelings,112,desire
51yS6YoDxKGu4vnE4anuAR,Someone to Hold,112,desire
1NSCBsrYgjkmNiNSgiMLzK,Your Letter,112,desire
5zs3omxCtxQulnYDO4zgbB,112 Intro,112,desire
6JUTn2qBWaQFylVZgwp2mH,Now That We're Done,112,heartbreak
3kVIFDE3G89I2RPVkiRaRj,Cupid,112,escapism
0uuu6GPfF36MPr6SKMHvuF,Come See Me,112,desire
7CBtCcTd3Zs6GS1RGKhOva,Sexy You (Interlude),112,heartbreak
7DVeWlH6Dt4B03mZf1O7ni,Can I Touch You,112,desire
2Ge0R0U8XkIlQqptp1xjNc,Keep It Real (Interlude),112,desire
29N30JZul2tkzaaNRXYDDn,Just a Little While,112,desire
4kCIRfX0SuNdt8AoR1DRpr,This Is Your Day,112,desperation
2PGaYCles9SXXCjYOcjyfk,Too Much To Think,311,rebellion
7nIfaQmzvNiyGmFwcmLQNV,Island Sun,311,desire
08PvXG03fRNHfqAau4MEn0,Perfect Mistake,311,desire
313WIxizOJTSXAQEN3svpa,Inside Our Home,311,desire
6nFN8XceKhxfJeSzhptUVA,'Til the City's On Fire,311,pain
2IXdR31TMRM0aCmuQtV8WH,Hey Yo,311,heartbreak
79bmFiI99TtJtJeTgLnkON,Places That the Mind Goes,311,rebellion
0QBYbBggXuCtacEOnK2XZH,Face in the Wind,311,desire
3RnRhtUVlGvo1fZ4ZWOJd0,Days of '88,311,loss
20SfPTqEhiHzT0SbMmJxqM,One and the Same,311,loss
4x10rL82BMaDO2lDTfTFjp,Let the Cards Fall,311,desire
3iJGDkpmZuJv8diAUm6e4X,Gap,311,rebellion
4pRudfhvCR7shbCSwSww44,Tribute,311,desire
6LIBV2Q1NOfUBrAu7vp2qz,Firewater (Slo-Mo),311,loss
2p4A9ldg4Q5U8fyHQNrc6u,Bomb the Town,311,rebellion
7rVMvsuJUTX4lopckjzcuU,We Do It Like This,311,inspiration
5s1JUw6w16x71Sbfwvnwgp,How Long Has It Been,311,desire
1zRIisrQaTEXpn3on2kqmM,Sun Come Through,311,desire
12vRG6UWoFM2yXCcHInRp2,Firewater - 311 Sessions (Normal Speed),311,loss
0hoqPQiIMBbsagyGXTvAoG,Who's Got the Herb (2001),311,desire
0sZZiB9CcmiSaPtcJsGokM,Five of Everything,311,desire
2ojHq51ujgvNrm1HNVpYHG,Revelation of the Year,311,inspiration
5Hzy3gAvtvjB1wV4YOH5n1,Boom Shanka,311,desire
6DwvhycpYe0wLDTrT3MoqL,Make It Rough,311,desire
6OmB4CMbhV1N2lGrbjokPN,Friday Afternoon,311,desire
1Sl1aytAoU2YxQ1O5lWY6I,Simple True,311,desire
0c0j4SKYG7lll38vbyEvSK,First Dimension,311,escapism
03yj7neapVahWtDk71yiCo,Made in the Shade,311,loss
7083RIuldWYPYODDrs8NNU,Existential Hero,311,family
1S4kOXeUfpQYzbOjs1irMI,Tranquility,311,desire
