spotify_id,song,artist
3kVIFDE3G89I2RPVkiRaRj,Cupid,112
0c0j4SKYG7lll38vbyEvSK,First Dimension,311
42xfNojkD14nnVltUJ2MRf,Beautiful Disaster,311
0LtsuNRz3IMRrHCYO9fKRk,Beautiful Disaster,311
1kplm95KV4UuZ2JTbfzKiO,FUCK the Industry,$uicideBoy$
3pO37BXsjMC2wApALxGbuB,Wasteland,10 Years
64Qr62VFZnlusFNJgf4H0N,Vast And Vague,36 Crazyfists
1nWbGHQLVzrbPi2bjz3KRE,Besos Al Aire,3BallMTY
3ibGmT0ZC3ywCKfQ6xVBnf,IMNOTYOURBOYFRIENDBABY,3OH!3
3RBYi7OjzLcNLe5WtWFATf,Green Eggs And Swine,3rd Bass
0dZlON0G0od05O549PikZU,Hustler's Ambition,50 Cent
5Sn4LU8Cv4vAmPGlHePxHh,Hold On,50 Cent
1AROE0XcC4ySCxXF65mutZ,Seasons (feat. Khalid),6LACK
1MQ8ydvrTnn2QJgXFATJvD,Ex Calling,6LACK
22GX5rPq3PgRhq8GQLjJti,Clap On (feat. Yung Joc),8Ball & MJG
3VEJAR3mb4eEj8Q2td1c7p,Untitled (Grasses Grow),A Fine Frenzy
1q4D508oAX4Zbd09ENTuMV,New Heights,A Fine Frenzy
5w0ZwBc0a5s3dNdenCh9wp,Stood Up,A Fine Frenzy
1qHiDbTJI7GB62W3BBFigx,Hold Each Other,A Great Big World
4D03nfA969gXmBUNJxH7Dm,Hold Each Other,A Great Big World
0tBlp6zZ4j238CbdXCYy7A,8 Million Stories,A Tribe Called Quest
5AqiCiF7zW5BeGs55w1ozd,I Will Worship You,Aaron Gillespie
3OC7rG4hOqkbYPsS6kHd4p,Song Of Bernadette,Aaron Neville
3DGk5gIYE9BahSKS6a8eQ2,Glory To You,Aaron Shust
2D5ALxqNLfQViFHPtE4WYW,Stillness (Speak to Me),Aaron Shust
5f7SrcdZOKY1Trtr9l3ToR,I'll Take Love Over Money,Aaron Tippin
0xhAPDJH8HZtcGzMBmIAYV,Twenty-Nine And Holding,Aaron Tippin
6A3uXzP2vp9UgFjq0qGaQw,Dancing Queen,ABBA
4NtUY5IGzHCaqfZemmAu56,Dancing Queen,ABBA
1oI9oNqX6STf5q9KSUG6kA,Peace of Mind,Above & Beyond
7rAZmtf8DWrwht9MShpyqc,Sink the Lighthouse,Above & Beyond
3KAjzE9Y4KXhSYLN0E9Kpb,Evil Walks,AC/DC
7kiKiDlZVrwufrqegBdUqt,Money Made,AC/DC
2wtfGQcX5Sv0xWHgREAP26,Show Business,AC/DC
5ahPl557niKxia8Kquw1yh,Evil Walks,AC/DC
4RBHZeNT7pnjoH7SsQ43cG,Calling to You,Ace Frehley
4MX83dksy97o852Be7ScL7,Hustle Hard,Ace Hood
68LR4RQ7JLHwRodWxPOB0k,Hustle Hard Remix,Ace Hood
65Pca73SW2Uu4Twu40TgoM,My Right Lung,Action Bronson
14VuJAeZQW1fjup8QDlAhG,Here Comes The Grump,Adam Ant
5gZuRL7xVGyHmdyk6DFqrA,Here Comes The Grump - Instrumental Demo,Adam Ant
0BmT0BVnYYggf7V4NCtx2B,For Your Entertainment,Adam Lambert
3nQQLpNAc9uKV0yFJ3irsg,Strut,Adam Lambert
1UJXrNLRbYoUu3cdpiT3xc,Best Friend,Adam Sandler
0yWeJnVINv2Z7NZsYDkWzl,Calling All Goddesses,Adore Delano
1wglSbjmiG8fIWKWwD3I9L,Looking for a U.F.O.,Adrian Belew
0DIJJKjP5ZnAPiaQeawJis,Fast Cars,Aesop Rock
2DVILsrGuQZvNcp2hJxi5R,We're Looking For The Whales,a-ha
3Jz7gwLmhI7jJyGzRn7H0b,Calling It Quits,Aimee Mann
0RFduQOfkrP1jhoV0m8US2,Surfing on a Rocket,Air
2NVHxR89RDACrAPpckPfkN,Sex Born Poison,Air
6fhpnwCBLVamyD7gkZhXjt,"Too Much, Too Young, Too Fast",Airbourne
2b94kdUt0tyk8fQiXQK8eo,Hold on Forever,Al Green
6d7zB89d7CNhBqBhnm1evb,It Ain't No Fun to Me,Al Green
2V30GvaHr6WNJSsd0J8RqZ,Show and Tell,Al Wilson
2vhW1OmaZDYi63Da9d8R5o,Show and Tell,Al Wilson
7bLhWmIlbmKxQf4VCIxBFY,It's Five O'Clock Somewhere,Alan Jackson
6BuX16l9jISxGSC0utQebx,What A Friend We Have In Jesus,Alan Jackson
6pMnEX2iBcqQtUyIl1L6Oo,What A Friend We Have In Jesus,Alan Jackson
07KYRDFf8Q6sqj4PWCP9vh,It's Five O'Clock Somewhere,Alan Jackson
5oHHMDcVOmPSFrCgdbHPdb,It's Five O'Clock Somewhere,Alan Jackson
0Wey5ZrNwZhlAlQHc4756q,The Best Keeps Getting Better,Alan Jackson
7KysI43rsjlhjTeWO6ePUq,It's Five O'Clock Somewhere,Alan Jackson
0aAlRhGYJcI78j7URvjpIm,Once You've Had The Best,Alan Jackson
2fUkiQTfMPzYCGjHqiYH1k,What A Day Yesterday Was,Alan Jackson
7DLfybaxeAXgxegUvFFHYS,It's Five O'Clock Somewhere,Alan Jackson
0nWpopVYGOGvyd3PmulPTe,SMOKEY FACTORY BLUES,Albert Hammond
3kO3YidcUENcN4SIIcmJSQ,Call an Ambulance,"Albert Hammond, Jr."
376uZrz1B180pbC45wcleE,Hold Back The Night,Aldo Nova
13WZ5HVhCpaLd3LXsBu6Pu,Una Lágrima En El Corazón,Alejandro Fernandez
5JpfypdAtTwa8xK1Coh29B,Un Zombie A La Intemperie,Alejandro Sanz
62UQgDAEzQuKDwa0Lf8wt8,Bumper Cars,Alex & Sierra
611s5MBQZCIkOcgdjtosWA,Emerald Street,AlexisOnFire
6gnvB7ejTWObv3d2xdCaL4,Sunshine,Alice In Chains
1EwZUh0VdTJp12EcBwez6O,This Bed,Alicia Keys
3BL1Nyhlnsu4KxRaK6iD0L,These Days,Alien Ant Farm
1CGY1crFDVVSSIbKIsOTF9,Sadie,Alkaline Trio
5KwPQNnzA87NSBilvBBDr1,Sadie,Alkaline Trio
0LGGancvzYMY39old2qEeP,If I'm Honest,All That Remains
1OPsjQNEznutTuq3ioWaKK,No Knock,All That Remains
2vH5Fy44mcCDUrUk0XbvfH,This Calling,All That Remains
0T22hiiSwg8BjGx23QajON,Therapy,All Time Low
0jh2HyqarexLFrEyN1dpKp,Therapy,All Time Low
0ApPuP8qGveyyJtfZmejTU,Guardian Angel,Allen Stone
723rNwRpNLzXdR9w4aG8iy,White Knuckles,Alter Bridge
57tzAvfPHXHzCHUNp9AUBm,Nara,alt-J
2mkv1b3dRFyiJ4Ybq31owf,Hunger Of The Pine,alt-J
05IvGJRTh8PEsbJQdqz4ML,Woman Tonight - Live,America
4lTEyMw4bb25M6VIBsoIBt,Woman Tonight,America
4pc3G1O9j31GKW2wh8lma1,Woman Tonight,America
3UIL0jPUxpyR24fN1TxL4v,The Last Stand of Frej,Amon Amarth
3fTwPebsGs7q0rOrFkuwrF,The Hero,Amon Amarth
2SPQS9rztAy4M04bxuv115,Angels,Amy Grant
29kWfrWp7XaxcEHK1VNeV1,Softly And Tenderly,Amy Grant
2b80CnTv9Q1RTqk5jcayND,Love Has A Hold On Me,Amy Grant
1XDnYuW8wqlOaoPdVkuXKd,Angels,Amy Grant
79Mj6CUPQ6EtlNvM0XaRFD,Japan Air,Anamanaguchi
48Y9pNe30o273HGYKyMKj9,The Chase (feat. Kadhja Bonet),Anderson .Paak
1ZVZXSDmHQwxoNcY95uJUi,Surrender,Anderson East
2qGUQmL2AYt9IVimblFvSo,"N.Y., You Got Me Dancing",Andrea True Connection
6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle
1pDYCsbY4NkeQb8AvanZMj,Dancing In The Minefields,Andrew Peterson
2dP10iCryhpnpsMiGW2LLT,Total Freedom,Andrew W.K.
3unwRUV5qbjMmH3NJtaODy,Shadow Dancing,Andy Gibb
6NVUG7pv9ym0w9b6S8k5Wn,Holding Out,Andy Grammer
55nb3A6Xo0x0ozCQEYk3pN,Canadian Sunset,Andy Williams
1Bhi7v5aafrvWuIF4D8mI8,Charade,Andy Williams
3TCpJcpWQYY89MnSW8Bfz8,Canadian Sunset,Andy Williams
3a61Av1nFpteS2ugCVrVN5,Canadian Sunset,Andy Williams
5uZLsGY9fknBd5Rxr7AIss,Shut Up Kiss Me,Angel Olsen
2Rc5i1prwcSG7XV844zrWx,In The Flowers,Animal Collective
0qPY7vkzpBEcWKORjsSguV,Citadel,Anna Nalick
0FibkJh4IAJgpXUsJiMkVn,Blood Eagle Wings,Anthrax
6tLK2xBgwkn6MGwkMBByXh,Who Cares Wins,Anthrax
35zEFTbVh7KVLwMXCUkihJ,Death of a Nation,Anti-Flag
6roUZisrherQfIiAJbbumU,The Great White Ocean,Antony And The Johnsons
0t9Jd84JnsV8HRMaQzHUom,I Don't Care (feat. Adam Gontier),Apocalyptica
1ocL0Mdp2NKggF7kG3Qdm2,Ocean of Noise,Arcade Fire
