spotify_id,song,artist
4kCIRfX0SuNdt8AoR1DRpr,This Is Your Day,112
5bS8yckaN26o92LOeC9CK0,Creatures (For a While),311
0zFzX35M0ZjMjWuemPiluU,Do You Right,311
5CTbNtv2J3SnCv2EtX0zvW,I'll Be Here While,311
1mHZhWJu6RVJhyu3USZdI5,I'll Be Here While,311
4oSxtaBnETlbbY1mYxKzob,Show You My Love,702
4ZJGobiy4ayWSdKfoqMRlX,Handy,"""Weird Al"" Yankovic"
77lZ5O8fojbuYiEskfqJpP,"Canadian Idiot (Parody of ""American Idiot"" by Green Day)","""Weird Al"" Yankovic"
1gloYGAZI6eHp6MEPjLuL3,"Canadian Idiot (Parody of ""American Idiot"" by Green Day)","""Weird Al"" Yankovic"
518qqoaCUOqwFFXmR6bSWX,"Trash Day (Parody of ""Hot In Herre"" by Nelly)","""Weird Al"" Yankovic"
4N9mlIqnFgkhoxuWpbvUyg,Polka Power!,"""Weird Al"" Yankovic"
7jrzKC6yoUofoZMpPMVs3i,Living With a Hernia,"""Weird Al"" Yankovic"
1PSYVUqq2Hq3ctSg0Yc3Kb,Don't Wear Those Shoes,"""Weird Al"" Yankovic"
7v2azTfke2BR57lh2HxPQo,Bring Out Your Dead,$uicideBoy$
4bjhGmdNw1NxPkWltM5Ar0,Everything All The Time,(hed) p.e.
494DebrXoSlc4k4l7lE8B0,Represent,(hed) p.e.
40F6hDk7Z7PJNua8SSErJH,Raise Hell,(hed) p.e.
7uktaVGSE09zJNAx67Ygil,Moisture Residue,10 Years
15H4nh6FpFmIms3o52pF2q,It Doesn't Matter At All,10cc
30chBEF8YtdVjCImxQybXF,Shock On The Tube (Don't Want Love),10cc
2RLJy9ctVKPnpRlyVgUapC,I Wanna Rule The World,10cc
1udNcZB0c2XeyXohONfKBZ,Channel Swimmer,10cc
2AilQKeh6r7vWk29OvrrzU,This Dark Day,12 Stones
1mUP6w4DXq4AtNBKBHW8n1,The Last Song,12 Stones
3iC7Ea2rXQ8OVbiGfPx7T5,Black Unicorn,2 Chainz
3cFe9hcxMmjsl0kENZs9gD,Run Tha Streetz,2Pac
24f9Nj9JEb7IbNLWDEdINg,Sleep,2Pac
0EKZ3sUnEWxwdHsabVnX2F,Never Call U B**** Again,2Pac
0FNt0zNJT1JNnSIe8LqYxh,Words Of Wisdom,2Pac
4bd0huUFA24TMLJALrABCb,The Silence Remains,3 Doors Down
7oJxBvERnRP6u0uOm14cjN,Not Enough,3 Doors Down
4h9GuOsZdhe4w5TPMQHNWQ,So I Need You,3 Doors Down
69fOcFyjsjZtUHyWGEQndl,Landing In London,3 Doors Down
1fZLcY8rJze7s8ly8SZLqH,Live For Today,3 Doors Down
1hBJDcRd3gBfRTfUPrynZ5,God of the Cold White Silence,3 Inches Of Blood
61B71nQtZWKnHqjdKzh8l9,CLAUSTROPHOBIA,3OH!3
1jxDpcIgPUQFVRyaCXkdqX,PUNKB*TCH,3OH!3
4jxRtLMiyu1u4Vx0Oa1pbU,Problem Child,3rd Bass
23QoOLhWKM7AdVgEWLGkKl,I Need You,3T
4YYmvuwndD3YNfi43M7EC5,Meet You There,5 Seconds Of Summer
6V6Xoa7CRJJRoe7f9hRdAe,Vapor,5 Seconds Of Summer
