spotify_id,song,artist
6nFN8XceKhxfJeSzhptUVA,'Til the City's On Fire,311
3cEwW0OE6GhpufUNdOFKna,Beautiful Pain,2 Chainz
6rEr7AsF3cmfUR3birakRF,Twilight Zone,2 Unlimited
7dJiDDo32YBDppIe3ZwiNP,No More Pain,2Pac
5ZNP4PZiKSdnMrg4KTbRL1,Anywhere But Here,Aaron Lewis
4AGZe4A8fbDiLbTJmI1JGX,Come To Me,Aaron Shust
6zIeHmHIJBUtkSCqQmNjne,Barracuda,Adrenaline Mob
46D2i6BGS87sb9kGBz2gIx,Fever,Aerosmith
5jWPZIt3Ix7sT7jmmkPjkX,Ache With Me,Against Me!
6kpsm7wiOJFmOdGL4eg5rb,Homesick Fever,Alabama
3isdNXMPbA0xrPywsdkMAF,Dixie Fire,Alabama
6SwCUImk8s54QBL10A4Sc3,Burn Georgia Burn,Alabama
53JK0Nx8nH7JXhdDVJEtpB,Midnight In Montgomery,Alan Jackson
1Bucr8Wk891tg8mP6wtdSW,Midnight In Montgomery,Alan Jackson
2Jp7v0ETY1ksi2sUFtlpsk,That Particular Time,Alanis Morissette
3Ob9DuVZAtQHH1JMXWfWWV,You Burn First,AlexisOnFire
2KfmAoSPrKjvWJxSZoMy1T,Pain,Alice Cooper
2RI2El1SJ6yA3nL0svAcX3,Blue Turk,Alice Cooper
5bpx60gYQoDDJcP7vBygPB,Doesn't Mean Anything,Alicia Keys
2oOrzZmHfAhYBPsAFg079R,Burn,Alkaline Trio
0QULseV272MmSxtvK6Fe2w,Burn It Down,Alter Bridge
4sgt6dFBMiA0YvIUKefA2H,You Each Time,Ani DiFranco
4R5d4c7lbsWm9tDfsXWHKU,The Constant,Anthrax
2qheIznhKfRHGlFRQxGi7e,Packaged Rebellion,Anthrax
2avf0rcy2a3xYkkW2EJfSZ,Slow Burn,Apocalyptica
3BkqtdD3Vc90C3JFtTTVqI,As the Pages Burn,Arch Enemy
34e1mfaKrX6Z1HiusQM3lf,Midnight Train To Georgia,Aretha Franklin
34e1mfaKrX6Z1HiusQM3lf,Midnight Train To Georgia,Aretha Franklin
1kItHO3C3IQe87p9epjA5M,Dawn Of The Dreads,Arrested Development
44Y5Yh5OSciJB6ODlAhlHo,Fire,Arthur
3kjEY9kcFAwVzS5i4Qd6HH,Moving Forward,As I Lay Dying
5um5Q5DCZ26Hm1az7JnTn5,Poison,Asking Alexandria
35gzObZJmiy40OIBzBFil0,Order from Chaos,At The Gates
4k7bAGr5tVzzjd9ulV7r2I,Paper Castle,Atreyu
3QhqY56tl0HdbaTYwq8ffC,Cut Off The Head,Atreyu
3THSFfGAmMVcyoad159Gd1,Burn It Down,AWOLNATION
62DDZO6qytqQj7VCTwosOF,Sail - Tde Remix Featuring Kendrick Lamar & Ab Soul,AWOLNATION
4SaIVG2T3c3FrCUHMLAt6B,Respect Yourself,B.B. King
3UG5KYo9CcIku0SNVh4OxP,Ghetto Life,Baby
5IG3ZYOnNmXzqjsJlQEdGS,Prove It,Bad Religion
0XqoEUdcauvJVlQS00J1tV,Throw My Mess,Band Of Horses
3Zap0y0oRZQr9itbdR92m7,I Mean To Shine,Barbra Streisand
5iODvhTeAzhsl1eBuy6vpj,My One and Only Love,Barry Manilow
5HYsxG6aEJhhFtr0StyYO7,Sunrise,Barry Manilow
6nXLxs9IeuOM9EH5Mlmzzk,If I Ever Recover,Basement Jaxx
1Ln7glHIBAOIE2jSQu7PUT,These What Abouts,BeBe & CeCe Winans
16dlnz34v5YDQul6xVPBSa,You're A Grand Old Flag,BeBe Winans
2J2GPBGZX3PYTDolrAdlpK,"Whiskeyclone, Hotel City 1997",Beck
7cI5101px2DXa36dl9CKHv,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees
32GikG80Mgfp4pQaI5LgjC,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees
5KgbyD2lQQlIupAaPjgiXg,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees
0oUm4SzZ3ZMGFrBDhM6qsh,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees
2uTZSZHZnbBgh4plXJmLjo,The Woman In You,Ben Harper And The Innocent Criminals
1cuKYPSCaKNt1XSJ6Zj25O,Burn To Shine,Ben Harper And The Innocent Criminals
7kfngMYG0vg0x2Czp4Mi7R,Curtain,Bernadette Peters
0YAQPs3hTAj5HW0sp7oC8A,Fever,Bette Midler
6jC4P4UddgJKz4MOdpYlOo,After The Pain,Betty Wright
5ze2tIC1kKvaFFf0nP9iNR,"No Pain, (No Gain)",Betty Wright
1CdEksXQ6gvdr4blQjQdTZ,Turtle Blues,Big Brother And The Holding Company
6t58PteZASbqn0XJm7kCJX,Hysteria,Big Head Todd And The Monsters
0z0hmSAPPskGTKIjG1X3Ia,Burn Down the Trailer Park,Billy Ray Cyrus
3ff5sxMXTcLvuV1kd1Nwtz,Truth Is I Lied,Billy Ray Cyrus
07sJ4xKLvWusl7pb90U9b3,This Suffering,Billy Talent
4DgsWbo20FacH2ovF9hWrc,Burn the Evidence,Billy Talent
0BZAiJqPvicCt6Z119eyGg,Ghetto Life,Birdman
3zWrVnMKBIDYeuZwxkY7Kg,Heart Crush,BJ The Chicago Kid
4fdA7FPwQFEqHHym9DgniK,Midnight Sun,Black Country Communion
5yvF8TLW6rJT2oFCAnYASk,Heat It Up! Burn It Out!,Black 'N Blue
7mmSC6M6xKlc6HlsbkrhGg,Heat It Up! Burn It Out!,Black 'N Blue
5QRTewUwStrwQp3qRozYfC,Voodoo,Black Sabbath
2sUdWSXsSNTJ3qIh4FTkbT,Voodoo - Remastered Version,Black Sabbath
0t3cTfGlTl1XaH5YdjIFHN,Sometimes I Want 2 Die,blackbear
2McqnD4oeOWZre5AbwRb83,Let It Burn,Blackberry Smoke
24ZQ16k9lmEFxWFAS08XZb,Worry,Blanca
5nXZcxbtNFh9WChE1xMuqx,City Of The Condemned,Bleeding Through
