spotify_id,song,artist
0WNvDswphWsmGIgO8tB8HP,1’s For Ya,112
2PGaYCles9SXXCjYOcjyfk,Too Much To Think,311
79bmFiI99TtJtJeTgLnkON,Places That the Mind Goes,311
3iJGDkpmZuJv8diAUm6e4X,Gap,311
2p4A9ldg4Q5U8fyHQNrc6u,Bomb the Town,311
4X5AOZrw0Ff9quWzmr8ftt,Sunset in July,311
5XVHRFwT8TdDtABWYV9mhe,Long For The Flowers,311
7BMsdMOIzoBwTzKn1qCNOc,Getting Through To Her,311
5m2KEaQbDf3OQRiuGG9YtJ,Wake Your Mind Up,311
3VP2BG499sqKXo3f0Cct7J,Freeze Time,311
0Ad93Ruu1wGsmwOKa3at9f,Inner Light Spectrum,311
1wAUM8F740gEZTyUiafTF3,Use Of Time,311
2ts6qEpY0uRs8899sIpjfn,Don't Go Breaking My Heart,702
2ELqO1C2U6vhg1BfYp7QhG,Polka Face,"""Weird Al"" Yankovic"
0dHucIuRYXSyl8f5nhewux,Stop Forwarding That Crap to Me,"""Weird Al"" Yankovic"
2atAKRdZxGmXdaI9I6YN06,Pancreas,"""Weird Al"" Yankovic"
1laOHvnWEgzbS1TTKxvr3D,Pancreas,"""Weird Al"" Yankovic"
4FGHfwMHfsml5VJbrD2ARk,Polkarama!,"""Weird Al"" Yankovic"
6h77X5H4dP9l2jzG92vVv0,The Alternative Polka,"""Weird Al"" Yankovic"
6VFKlX5qzxwmIiezqeqNYG,Meet Mr. NICEGUY,$uicideBoy$
2lksym6624gUVDHXTsCVQe,Ordo (ab Chao),(hed) p.e.
3T8NLa7YUBp2YdXPUAWS03,Renegade,(hed) p.e.
7pfy9rf1vCLPryc9Qgbsuq,The Chosen One,(hed) p.e.
19q2AgZEvcOeqigqAGLlHP,Paralyzing Kings,10 Years
4zVKnKB8j25leIrMINbRxm,Baptized in Fire - Bonus Track,10 Years
3kf8WIV8jPRbfewjOrCNCt,Soma - Acoustic Bonus Track,10 Years
0XCPGY6eXl4tOswUL0EQAI,Fade Into (The Ocean),10 Years
3QFt61IkMjBd1kcftlMDVG,Silhouette Of A Life,10 Years
1dbvYK3hUrXYlFCJhDKn8q,Lazy Ways,10cc
7aw2tIzAuLMBUGFevGSBN3,Rock'N'Roll Lullaby,10cc
2QuhQtkWjIgUnD0osMVxmQ,The Worst Band In The World,10cc
2wJ3sbNqiINIRW3beIqQUe,Clockwork Creep,10cc
4GD5azfrLG4PBLKdhonYFJ,Bulletproof,12 Stones
5x6aZ5H0uCZSLD0U07ExdI,For The Night,12 Stones
4BUtPf5ZQL0cFauT1CAUye,I'm With You,12 Stones
5qCcAZ39MJCzrlOPlHwvSm,Rolls Royce Weather Every Day,2 Chainz
51qLC3ISB1Lij4d1ZIfycR,Stop Me Now,2 Chainz
0zaF78E1pa9xwmD5hgFycL,Riot,2 Chainz
5stbfxsPi8gcOH2LCuA4Le,pad lock,21 Savage
6Gxgp1zYEf0TZcx9EUe6Wx,Whatz Next,2Pac
4thxI2KSGykuykiLJjMslo,Don't Sleep,2Pac
3Vt89nokRNoQyafkZ4kJF0,Soon As I Get Home,2Pac
25j4RvkRgcXvZ0OUNP1H2U,Don't Stop,2Pac
2AOA0UAoRHcNQVrFmzMX8G,Thugs Get Lonely Too,2Pac
5XI5tzAbzrhkGtLukDTDSG,When We Ride On Our Enemies - Briss Remix,2Pac
5avQSAKB1dOEeIQBqV4jgW,Until The End Of Time,2Pac
6cCF5qDyyxKTigCJOzHYU5,When I Get Free,2Pac
5dtwyz4UaErJFBRb1dYNOs,Let Them Thangs Go,2Pac
6QvBx8sWZPjMLQ2I2HKNjF,When I Get Free,2Pac
0vg5dJn4JdEmPgEwRkDuqc,16 On Death Row,2Pac
2bYtycTB28jxiELrsSf7sn,When I Get Free II,2Pac
4bFi6vwibnjz38OYapehT7,Can U Get Away,2Pac
3wVmf4THZbqc7WItW8SltZ,The Streetz R Deathrow,2Pac
04VFpSJU4Ls6YnitkzKS4y,5 Deadly Venomz,2Pac
6zpaz2y4g2BXRNatfgmS2Z,Part Time Mutha,2Pac
0h5cCXchFsjTYn4ZHn9D3i,Goodbyes,3 Doors Down
5Zft9zIODo7ZnImwcbaO4Z,Back To Me,3 Doors Down
5LM6Xr25UY3dkPyRTKqZe4,Never Will I Break,3 Doors Down
0oNiYKgINhqhPuwE9LTlj1,Changes,3 Doors Down
38cKK5uHgaxXel4onvnwq6,Battles and Brotherhood,3 Inches Of Blood
3xnVbdrHnkGyRXRmsuOaGr,Waiting On A War,36 Crazyfists
76OhaMY6YsMrFtvqzDxi6N,Neva Get Enuf (featuring Lil' Wayne),3LW
3Q7lNQhs1nKFDX5aZgHn9v,GIVE ME SOMETHING TO REMEMBER,3OH!3
1a4JhcMJTkdLWQDx24Rlcv,INSIDE BOY,3OH!3
1LjHre9uHSLMuUrKsl6ppX,Touchin On My,3OH!3
5p30X6Z8hLCoFviQji6cjT,Product Of The Environment,3rd Bass
1uI9dvgXnH8QP6kunOH22Y,Steppin' To The A.M.,3rd Bass
0RJeDtt4FYliYSQZxL2xTM,Sickkaluffa,3X Krazy
7q95VCNCdVj1HX6SvgbZcH,Measure Of A Man,4Him
5TaOGq2ViT8GodDLmbOv6F,Measure Of A Man,4Him
1VD2nlzQDj4YFPjhuOrjK2,Catch Fire,5 Seconds Of Summer
2wf6rb99AVkKsTkQFRYfa9,18 - Live,5 Seconds Of Summer
1tUWeW96kgOEaUH9l91Om3,I'll Still Kill,50 Cent
2kR2YN8D9Zkybw3eTgKUlj,Get Up,50 Cent
4qRdQm8EzQlkx7WmTKpI4R,Heat,50 Cent
4pmiIC65ustS2XeeJwQvAU,Don't Push Me,50 Cent
65l5KYs1YMFplVybSvFZqZ,Lifes On The Line,50 Cent
5NgaRInrdHjxGMYwCN6UoD,Winners Circle,50 Cent
0iFXTaQ0OCCh4N1LG54z8k,Chase The Paper,50 Cent
0MZHbLF9A6m97WzCGSYpFL,Get It Hot,50 Cent
6E5c03loExydD8ntRKWLv7,Gangsta’s Delight,50 Cent
0XV3lm3ZxKUr6FiWVdJuyk,I'll Still Kill,50 Cent
5KhFaq45chTw8RGfWo8T8J,BILLY,6ix9ine
7HDpgbWMVzI8bEbdldw3cs,One Way (feat. T-Pain) - Bonus,6LACK
6XexzlVsjQOuNQ5pcfWOdq,Poolside Manor,88rising
0j5a06ZIBRALdzBvXdXSfL,Do You Wanna Dance,98 Degrees
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie
0CveX6X9yK6jJKzIsAWroR,Let's Start Over,A Boogie Wit da Hoodie
5P1vipFCNi7SiOEVGqCc3s,Get to You,A Boogie Wit da Hoodie
7oMwun7Y8xOxiARFoAyKm7,The Document Speaks for Itself,A Day To Remember
6rx6Qr5BCVB4MaIvSYSsh1,Mr. Highway's Thinking About the End,A Day To Remember
0l8abjLU8NTOhBojVTxxeg,Dream In The Dark,A Fine Frenzy
0jhdk5ir8wAb8dIryDlUGe,They Can't If You Don't Let Them,A Fine Frenzy
3zwUVFojVdM3E0ioGstH4A,Star Hopping,A Firm Handshake
6ZsVROmaVK7RozA55SmoWy,Coffee Cup,A Firm Handshake
4RJuvzkw2M8IVLcVHLENee,Where Does the Time Go,A Great Big World
2PIXt4s3wcT1e7mjgVUHeE,Hourglass,A Perfect Circle
17vSdpQJmAskoex4ATpz69,Get The Lead Out,A Perfect Circle
1au1pPMHY9avx43cDT4XXa,What's Going On,A Perfect Circle
